Date,SPY,QQQ,IWM,TLT,GLD,EFA,EEM,VNQ
2015-01-02,172.069,95.0215,107.403,94.0597,114.08,49.2607,31.2787,60.7615
2015-01-05,168.957,93.6168,105.965,95.4895,115.8,48.0975,30.7209,61.0968
2015-01-06,167.378,92.3698,104.138,97.2523,117.12,47.5535,30.5919,61.7023
2015-01-07,169.435,93.5619,105.438,97.0388,116.43,48.0818,31.2549,62.647
2015-01-08,172.469,95.3706,107.194,95.7541,115.94,48.7324,31.7878,62.882
2015-01-09,171.063,94.7157,106.182,96.8126,117.26,48.4966,31.6816,62.9134
2015-01-12,169.723,93.7313,105.805,97.3854,118.56,48.3832,31.4234,63.3941
2015-01-13,169.244,93.7029,105.895,97.3854,118.16,48.6277,31.6999,63.2987
2015-01-14,168.24,93.1944,105.498,98.1405,117.97,48.4878,31.5205,63.8453
2015-01-15,166.697,91.9846,103.692,99.6381,120.94,48.797,31.5918,63.9937
2015-01-16,168.881,93.063,105.408,98.4175,122.52,49.4319,31.8592,64.5462
2015-01-20,169.225,93.7991,105.001,99.67,124.2,49.6012,31.8108,64.037
2015-01-21,170.125,94.2815,104.644,98.547,124.23,49.9915,32.5113,63.9937
2015-01-22,172.604,96.0275,106.719,98.2075,125.23,50.1794,33.1331,65.1291
2015-01-23,171.686,96.2295,106.669,99.5317,124.23,49.8947,32.8821,64.9443
2015-01-26,172.088,96.1233,107.73,99.2158,122.99,50.5775,32.8987,65.4909
2015-01-27,169.809,93.6246,107.184,99.3659,124.4,50.6509,32.721,65.5154
2015-01-28,167.619,93.1579,105.398,101.009,123.42,49.8947,32.3666,65.079
2015-01-29,169.158,94.0501,106.817,100.351,120.76,50.5775,32.3666,65.3081
2015-01-30,167.044,93.3255,104.515,102.119,123.45,49.7802,31.4801,63.9632
2015-02-02,169.101,94.1256,105.468,101.764,122.42,50.3838,32.0443,63.7912
2015-02-03,171.571,95.0453,107.323,99.5764,121.05,51.187,32.6495,64.3487
2015-02-04,170.909,94.955,106.917,99.7636,121.58,50.7654,32.4866,64.0813
2015-02-05,172.623,95.7833,108.335,98.683,121.79,51.4639,32.6817,64.8509
2015-02-06,172.182,95.2059,108.237,96.9276,118.64,50.8231,32.1249,62.9646
2015-02-09,171.369,94.8883,107.333,96.7593,119.17,50.5775,32.0744,62.5222
2015-02-10,173.207,96.3616,108.078,95.9683,118.47,51.0413,31.9975,62.7207
2015-02-11,173.322,96.7254,107.908,96.1508,117.07,50.7654,31.7642,62.5379
2015-02-12,174.959,97.8254,109.089,95.8445,117.34,51.5529,32.4398,63.285
2015-02-13,175.716,98.6973,109.735,94.8648,117.98,51.8963,32.8117,62.8643
2015-02-17,176.003,98.7859,110.102,93.4241,116.01,52.0176,32.7374,62.706
2015-02-18,176.022,98.9333,110.23,94.0164,116.34,52.3268,32.7293,63.2919
2015-02-19,175.877,99.3937,110.24,93.3641,115.94,52.3914,32.5939,61.9304
2015-02-20,176.909,100.05,110.529,93.653,115.28,52.8795,32.8117,62.5301
2015-02-23,176.89,100.159,110.637,94.7245,115.43,52.6917,32.4783,63.0304
2015-02-24,177.389,100.239,110.797,95.9442,115.26,53.0165,32.9491,61.7918
2015-02-25,177.246,99.981,110.916,96.3448,115.7,53.0576,32.8821,61.8065
2015-02-26,177.046,100.491,111.332,95.0559,116.07,52.9099,32.8904,61.1322
2015-02-27,176.441,100.041,110.717,95.8535,116.16,52.9373,32.8667,61.6139
2015-03-02,177.543,100.973,111.551,94.0962,115.68,53.0165,32.8208,61.9697
2015-03-03,176.816,100.481,110.866,93.7353,115.47,52.6917,32.5691,61.8497
2015-03-04,176.107,100.09,110.509,93.769,115.11,52.4794,32.2146,61.2571
2015-03-05,176.29,100.277,110.846,93.653,115.0,52.6027,32.1661,61.4359
2015-03-06,173.819,99.1496,109.398,91.5964,111.86,51.8875,31.6733,59.3942
2015-03-09,174.497,99.4236,109.903,92.4186,111.97,51.9668,31.5525,59.871
